78c3a40,2026/05/19 11:11:07,YutaNakachi2026,Revise gameplay mechanics and VFX descriptions
2dad97c,2026/05/19 10:51:25,YutaNakachi2026,Update README with design specifications
feeb501,2026/05/18 23:55:49,YutaNakachi,Merge branch 'main' of https://github.com/YutaNakachi/Limitless
742a180,2026/05/18 23:55:04,YutaNakachi,Cartoon FX Remaster Free Imported
6ff5cf0,2026/05/18 23:54:36,YutaNakachi,Categorize music assets and add new sound effects pack
7df4b6d,2026/05/18 23:24:16,YutaNakachi,Comic Explosion Effect Imported
33a4ed0,2026/05/18 23:20:21,YutaNakachi,Pixel Adventure Imported
5d54649,2026/05/18 22:52:24,YutaNakachi,TitleScene, ManualSceneのUI調整＆Build
6cfd8a8,2026/05/18 15:05:17,YutaNakachi2026,Update README with external assets information
7f4b866,2026/05/18 12:07:03,YutaNakachi2026,Fix typo in README and update Unity version
f075a22,2026/05/18 12:05:04,YutaNakachi2026,Update Unity version badge in README
ad56b93,2026/05/18 12:03:56,YutaNakachi2026,Update README.md
6443e25,2026/05/18 12:03:33,YutaNakachi2026,Update Unity version badge in README
548b1dc,2026/05/18 12:03:00,YutaNakachi2026,Fix Unity version badge in README.md
bbad835,2026/05/18 12:00:34,YutaNakachi2026,Update Unity version badge in README.md
a70f6af,2026/05/18 12:00:12,YutaNakachi2026,Create README.md with game overview and details
cd22f9c,2026/05/14 01:21:23,YutaNakachi,キック時のエラー修正
b80e297,2026/05/08 15:52:12,YutaNakachi2026,BallAbility（基底スクリプト）作成
67aa061,2026/05/07 15:57:15,YutaNakachi2026,Normal BallにParticle System追加
911087f,2026/05/07 00:33:50,YutaNakachi,プレイヤーの向きにより回転方向を変更
c5e8632,2026/05/05 01:26:49,YutaNakachi,Ball回転ロジックを調整
26e9efc,2026/05/05 00:39:42,YutaNakachi,activeBallsを配列化
e3a83c0,2026/05/04 01:55:59,YutaNakachi,Ball回転機能のコード修正
5a4c970,2026/04/30 23:13:01,YutaNakachi,SpriteSheet追加
3fecffb,2026/04/30 22:48:00,YutaNakachi,入力によるReload機能追加
4bd50d7,2026/04/30 16:27:46,YutaNakachi2026,Sprite設定調整
df8e4d2,2026/04/30 01:17:26,YutaNakachi,所持中のBallがプレイヤーの周りをまわる機能実装
367f838,2026/04/29 01:06:40,YutaNakachi,Playerの周りをBallが回わる仕組みを実装
42b5d6e,2026/04/28 15:53:58,YutaNakachi2026,Test用NormalBall追加
eea7cb1,2026/04/27 15:54:30,YutaNakachi2026,InputSystemのRe-Import
297639f,2026/04/27 12:04:26,YutaNakachi2026,じゃがみ＆ダッシュ中Collider形状が動的に変化する仕組みを実装
69baade,2026/04/27 01:42:17,YutaNakachi,PlayerとGhostの当たり判定実装＆ダッシュジャンプ、エアダッシュ実装
569c2bc,2026/04/26 17:23:00,YutaNakachi,Shoot機能と画面端の壁実装
47fbdcd,2026/04/26 11:55:51,YutaNakachi,シュートの基本的なシステムを実装
d0ffa09,2026/04/26 06:36:14,YutaNakachi,BallとGhostの当たり判定実装
b49a790,2026/04/24 15:58:44,YutaNakachi2026,CollisionDetectorスクリプト追加
2d13e74,2026/04/24 15:36:02,YutaNakachi2026,Dash一旦完成＆Generatorシステム完成
b05c55d,2026/04/24 00:49:44,YutaNakachi,Dashの動きを調整（途中）
fc5e4c3,2026/04/23 16:19:11,YutaNakachi2026,プレイヤーのモーション実装
0e94ce2,2026/04/22 15:56:06,YutaNakachi2026,Animation追加
7c83f68,2026/04/22 01:04:36,YutaNakachi,Animation素材追加
1ce5f09,2026/04/21 15:50:02,YutaNakachi2026,Animation作成
a7482ef,2026/04/21 01:01:05,YutaNakachi,Sprite画像Upload
7837561,2026/04/17 16:25:15,YutaNakachi2026,groundCheck File ID更新
92b00be,2026/04/17 11:45:05,YutaNakachi2026,接地判定方法を最適化
a8ec3ef,2026/04/16 23:40:46,YutaNakachi,入力操作をInputSystemに変更
e0bb49e,2026/04/15 15:56:36,YutaNakachi2026,PhysicMaterialを追加
ce6e5d4,2026/04/15 12:18:03,YutaNakachi2026,Ballを追加
dcdbe46,2026/04/14 15:54:47,YutaNakachi2026,必要な素材の追加
9fa276c,2026/04/12 23:10:59,YutaNakachi,Initial commit
